Respondent,Timestamp,Which track do you participate in?,How Often Do You Participate,Question,Answer,Numeric Answer
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What else do you want us to know?,,
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),,7
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Unusual Chart Types,6
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Power Query,4
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,I enjoy learning about new features,Agree,4
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,The challenges are too easy,Neither Agree nor Disagree,3
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,The challenges help me at work/school,Strongly Agree,5
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,Which track do you participate in?,PBI,
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,8,8
10001,2021/07/27 4:40:39 PM MDT,PBI,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,,
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Monthly,
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),,7
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Unusual Chart Types,6
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Power Query,5
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Containers,4
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Extensions,1
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Agree,4
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,8,8
10002,2021/07/27 4:48:17 PM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What else do you want us to know?,,
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (7th),,7
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (6th),Table Calcs,6
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (4th),Containers,4
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (2nd),Unusual Chart Types,2
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (1st),Power Query,1
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,I enjoy learning about new features,Strongly Agree,5
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,The challenges are too easy,Neither Agree nor Disagree,3
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,The challenges are too difficult,Strongly Disagree,1
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,The challenges help me at work/school,Strongly Agree,5
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,How Often Do You Participate,Every challenge,
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,Which track do you participate in?,PBI,
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10003,2021/07/27 5:35:21 PM MDT,PBI,Every challenge,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What else do you want us to know?,,
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,I would be more likely to participate in WOW challenges if they were,Weekly,
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,I want more cross-over with other software and/or platforms,N/A,3
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (7th),,7
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Unusual Chart Types,5
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Containers,4
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Mapping,1
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,I enjoy learning about new features,Strongly Agree,5
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,The challenges are too easy,Strongly Disagree,1
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,The challenges are too difficult,Agree,4
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,The challenges help me at work/school,Strongly Agree,5
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,How Often Do You Participate,Most of the Challenges,
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,Which track do you participate in?,Tableau,
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10004,2021/07/27 5:38:15 PM MDT,Tableau,Most of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
